fname,amine_hole_contri,ald_hole_contri,amine_elec_contri,ald_elec_contri
ald_22_freq_cut_amine_18_freq_cut,0.14%,99.86%,0.07%,99.93%
ald_22_freq_cut_amine_19_freq_cut,0.21%,99.79%,0.09%,99.91%
ald_22_freq_cut_amine_1_freq_cut,0.17%,99.83%,0.1%,99.9%
ald_22_freq_cut_amine_2_freq_cut,0.33%,99.67%,0.23%,99.77%
ald_22_freq_cut_amine_3_freq_cut,0.18%,99.82%,0.17%,99.83%
ald_22_freq_cut_amine_4_freq_cut,0.35%,99.65%,0.22%,99.78%
ald_22_freq_cut_amine_5_freq_cut,0.19%,99.81%,0.06%,99.94%
ald_22_freq_cut_amine_6_freq_cut,0.38%,99.62%,0.1%,99.9%
ald_22_freq_cut_amine_7_freq_cut,0.06%,99.94%,0.2%,99.8%
ald_22_freq_cut_amine_8_freq_cut,0.26%,99.74%,0.15%,99.85%
ald_22_freq_cut_amine_9_freq_cut,0.08%,99.92%,0.15%,99.85%
ald_23_freq_cut_amine_0_freq_cut,0.29%,99.71%,0.1%,99.9%
ald_23_freq_cut_amine_10_freq_cut,82.77%,17.23%,83.28%,16.72%
ald_23_freq_cut_amine_11_freq_cut,0.12%,99.88%,0.39%,99.61%
ald_23_freq_cut_amine_12_freq_cut,0.23%,99.77%,0.32%,99.68%
ald_23_freq_cut_amine_13_freq_cut,0.21%,99.79%,0.07%,99.93%
ald_23_freq_cut_amine_14_freq_cut,0.41%,99.59%,0.29%,99.71%
ald_23_freq_cut_amine_15_freq_cut,0.17%,99.83%,0.07%,99.93%
ald_23_freq_cut_amine_16_freq_cut,0.07%,99.93%,0.12%,99.88%
ald_23_freq_cut_amine_17_freq_cut,0.15%,99.85%,0.34%,99.66%
ald_23_freq_cut_amine_18_freq_cut,83.17%,16.83%,83.72%,16.28%
ald_23_freq_cut_amine_19_freq_cut,0.12%,99.88%,0.21%,99.79%
ald_23_freq_cut_amine_1_freq_cut,0.31%,99.69%,-0.03%,100.03%
ald_23_freq_cut_amine_2_freq_cut,56.63%,43.37%,54.2%,45.8%
ald_23_freq_cut_amine_3_freq_cut,93.75%,6.25%,92.11%,7.89%
ald_23_freq_cut_amine_4_freq_cut,0.31%,99.69%,0.24%,99.76%
ald_23_freq_cut_amine_5_freq_cut,0.24%,99.76%,0.33%,99.67%
ald_23_freq_cut_amine_6_freq_cut,0.51%,99.49%,0.19%,99.81%
ald_23_freq_cut_amine_7_freq_cut,1.25%,98.75%,1.69%,98.31%
ald_23_freq_cut_amine_8_freq_cut,0.06%,99.94%,0.12%,99.88%
ald_23_freq_cut_amine_9_freq_cut,0.37%,99.63%,0.18%,99.82%
ald_24_freq_cut_amine_0_freq_cut,0.16%,99.84%,0.21%,99.79%
ald_24_freq_cut_amine_10_freq_cut,84.27%,15.73%,84.41%,15.59%
ald_24_freq_cut_amine_11_freq_cut,0.03%,99.97%,0.37%,99.63%
ald_24_freq_cut_amine_12_freq_cut,0.19%,99.81%,0.32%,99.68%
